Project,Statistic,p-Value
laaber_byte-buddy,65.13470938352437,4.049179876348424e-12
laaber_jctools,74.65284220988602,4.524841588404968e-14
laaber_jenetics,24.433271373358984,0.0004345837901748951
laaber_jmh-core-benchmarks,130.58543942257623,9.676818804959574e-26
laaber_jmh-jdk-microbenchmarks,1056.8342086392156,4.549199064156585e-225
laaber_log4j2,778.1940136710697,7.918357410033698e-165
laaber_protostuff,86.51225389996517,1.6041362386110185e-16
laaber_rxjava,1506.4267257168005,0.0
laaber_squidlib,471.6916078995673,1.0504560842492108e-98
laaber_zipkin,125.53265734207388,1.1199262755581394e-24
